census_block_group,1,2,3,4,5,6,7,total_pop
510594618021,278,317,256,115,58,0,0,2516
510594618022,316,154,113,173,14,0,0,1719
510594618023,235,274,0,113,19,0,0,1339
510594619011,92,105,85,136,51,95,0,2133
510594619012,188,296,87,153,19,11,5,1991
510594619021,79,173,150,110,40,5,32,1969
510594701001,32,102,34,83,16,12,0,851
510594701002,72,272,80,116,74,21,0,1885
510594703001,83,356,153,137,47,2,17,2275
510594703002,40,78,80,81,11,12,0,894
510594704001,142,167,38,84,23,6,0,1120
510594704002,25,200,42,79,26,16,0,1149
510594704003,49,35,40,56,51,0,0,760
510594704004,48,183,92,86,75,31,7,1724
510594705001,44,101,82,60,41,14,0,1051
510594705002,143,209,202,158,20,31,18,2311
510594705003,33,151,107,76,25,0,0,1120
510594705004,323,132,78,15,30,0,17,1198
510594706001,46,165,47,129,0,13,0,1166
510594706002,231,257,105,74,26,9,0,1568
510594707001,98,119,74,44,48,9,0,1097
510594707002,26,143,97,107,52,0,0,1351
510594707003,46,95,75,49,33,0,0,846
510594707004,50,154,71,73,36,7,0,1115
510594707005,53,69,62,72,51,17,0,1093
510594708001,42,89,59,83,15,10,0,901
510594708002,149,211,182,223,43,5,0,2323
510594709001,200,149,94,187,25,18,0,1840
510594709002,114,166,28,215,43,13,20,1895
510594709003,79,195,85,41,21,5,0,1061
510594709004,194,202,38,70,22,9,0,1172
510594709005,84,151,33,104,22,0,13,1110
510594710001,266,272,115,104,75,5,0,2058
510594711001,139,267,77,85,58,0,0,1646
510594711002,28,164,17,86,72,7,0,1259
510594711003,31,106,105,16,46,15,0,968
510594711004,79,131,130,129,25,19,0,1622
510594711005,136,112,38,95,51,19,0,1302
510594712011,532,235,118,76,51,10,0,2101
510594712012,139,91,20,10,0,0,0,430
510594712013,101,178,126,33,25,0,0,1139
510594712021,428,350,55,38,24,0,0,1634
510594712022,198,279,148,88,62,14,42,2497
510594712023,232,149,27,59,44,0,0,1091
510594713011,216,216,160,150,50,0,32,2370
510594713012,160,323,144,108,10,0,25,2065
510594713031,69,50,84,34,9,25,0,817
510594713032,330,252,51,39,0,24,0,1390
510594713033,265,227,123,128,22,57,0,2208
510594713041,118,200,176,122,31,19,5,1927
510594714011,41,200,85,81,9,11,14,1328
510594714012,204,234,207,226,46,0,19,2801
510594714021,61,214,175,65,74,10,7,1883
510594714022,121,116,134,91,83,0,7,1747
510594801001,24,171,66,111,42,17,8,1411
510594801002,27,227,81,74,61,12,0,1450
510594801003,48,142,39,60,0,0,0,720
510594801004,33,63,27,48,0,0,8,561
510594802011,31,251,97,66,9,15,5,1305
510594802012,19,161,130,141,102,0,0,1874
510594802013,37,256,71,56,40,28,0,1428
510594802021,1020,357,128,160,8,0,0,2838
510594802022,211,356,67,38,0,0,0,1332
510594802031,338,360,165,107,34,11,0,2317
510594803001,44,407,227,90,92,45,69,3407
510594803002,17,59,26,106,75,0,0,1065
510594803003,45,379,169,226,151,107,0,3692
510594804011,58,144,143,74,79,14,14,1700
510594804012,65,358,171,155,110,17,0,2593
510594804021,56,268,140,263,100,27,0,2839
510594804022,77,293,172,131,95,8,7,2362
510594804023,8,180,46,59,31,10,0,985
510594805011,7,77,74,89,13,19,0,941
510594805012,33,92,68,105,71,10,0,1350
510594805013,38,112,68,84,64,0,0,1180
510594805021,121,261,234,207,48,49,30,3104
510594805022,10,132,83,40,0,0,0,696
510594805023,127,279,82,100,62,19,10,1949
510594805031,90,126,100,95,50,0,8,1373
510594805032,132,296,98,164,29,13,6,2026
510594805041,276,240,123,128,40,18,5,2070
510594805051,336,223,53,32,8,0,0,1162
510594805052,186,131,83,64,16,0,0,1072
510594805053,161,90,64,61,0,0,0,816
510594808011,135,61,80,114,41,20,0,1396
510594808012,228,278,91,106,111,56,0,2536
510594808013,43,34,41,94,43,26,40,1381
510594808021,257,59,88,28,0,0,0,759
510594808022,115,190,41,185,63,14,15,1944
510594808023,18,101,40,81,7,15,3,851
510594809011,123,97,101,40,7,0,0,892
510594809012,16,158,35,132,132,71,67,3139
510594809013,82,96,90,131,113,89,8,2413
510594809014,20,151,67,45,7,0,0,772
510594809021,174,307,167,162,57,34,30,2865
510594809022,145,161,25,70,18,0,35,1268
510594809031,183,97,79,18,0,0,0,687
510594809032,205,133,124,68,20,0,33,1562
510594809033,28,133,22,63,11,57,74,1950
510594810001,127,322,243,116,77,32,0,2725
510594810002,49,102,203,322,143,44,25,3596
510594811011,375,325,325,41,36,20,0,2539
510594811021,467,404,289,145,43,0,9,3145
510594811022,32,33,26,37,0,0,0,338
510594811031,130,92,173,193,60,18,0,2102
510594811032,142,132,121,95,27,8,20,1566
510594811041,132,109,88,120,55,6,0,1473
510594811042,74,78,32,175,21,0,0,1181
510594811043,65,53,26,33,0,0,0,387
510594811051,27,243,94,125,54,0,24,1806
510594811052,40,140,136,155,118,22,0,2124
510594811053,36,127,152,106,26,0,0,1321
510594811061,27,123,24,151,17,0,0,1074
510594811062,76,207,93,149,73,0,0,1809
510594811063,63,226,129,186,134,32,0,2634
510594812011,16,198,75,58,34,9,0,1156
510594812021,151,387,117,161,42,58,0,2625
510594812022,82,228,134,68,78,9,5,1818
510594812023,44,131,117,52,45,74,59,2169
510594814001,328,275,48,58,0,0,0,1300
510594814002,120,228,66,148,123,28,0,2285
510594814003,234,160,64,121,42,0,20,1658
510594814004,136,326,46,84,54,0,0,1574
510594815001,119,338,107,151,73,15,1,2251
510594816001,44,118,108,149,70,23,0,1729
510594816002,39,261,128,112,35,14,0,1719
510594817011,60,210,98,124,26,44,0,1772
510594817012,0,198,182,198,99,41,17,2700
510594817013,43,310,135,96,47,9,0,1815
510594817021,139,206,126,160,94,0,0,2108
510594817022,237,288,94,103,30,7,12,1986
510594817023,267,146,57,0,0,0,0,748
510594819001,422,294,159,155,64,24,18,2807
510594819002,41,267,82,115,12,0,0,1452
510594819003,53,271,71,233,17,0,0,1890
